control_id,control_name,Emp_TotNoMil,Emp_ConRes,TotEmpNoMil-ResCon,Emp_Military,Emp_Total
1,Bellevue,155023,8469,146554,0,155023
2,Seattle,691359,32420,658939,0,691359
3,Auburn,49459,6093,43366,0,49459
4,Bothell,17875,1046,16829,0,17875
5,Burien,14064,1382,12682,0,14064
6,Federal Way,32257,2072,30185,0,32257
7,Issaquah,30610,975,29635,0,30610
8,Kent,78269,9021,69248,0,78269
9,Kirkland,57161,5099,52062,0,57161
10,Redmond,101631,4116,97515,0,101631
11,Renton,71872,3829,68043,0,71872
12,SeaTac,39883,1094,38789,0,39883
13,Tukwila,46576,3297,43279,0,46576
14,Des Moines,7833,726,7107,0,7833
15,Federal Way PAA,2289,465,1824,0,2289
16,Kenmore,4698,753,3945,0,4698
17,Lake Forest Park,1960,240,1720,0,1960
18,Mercer Island,8599,561,8038,0,8599
19,Newcastle,2969,151,2818,0,2969
20,North Highline,6290,597,5693,0,6290
22,Renton PAA - East Renton,849,140,709,0,849
23,Renton PAA - Fairwood,3000,283,2717,0,3000
24,Renton PAA - West Hill,1500,124,1376,0,1500
25,Shoreline,19689,1399,18290,0,19689
26,Woodinville,15827,2404,13423,0,15827
27,Algona,2327,80,2247,0,2327
28,Beaux Arts,17,0,17,0,17
29,Black Diamond,695,258,437,0,695
30,Carnation,1037,77,960,0,1037
31,Clyde Hill,1043,15,1028,0,1043
32,Covington,5922,814,5108,0,5922
33,Duvall,1587,146,1441,0,1587
34,Enumclaw,6004,860,5144,0,6004
35,Hunts Point,110,0,110,0,110
36,Maple Valley,5818,886,4932,0,5818
37,Medina,617,37,580,0,617
38,Milton,111,0,111,0,111
39,Normandy Park,1143,132,1011,0,1143
40,North Bend,3718,487,3231,0,3718
41,Pacific,1484,397,1087,0,1484
42,Sammamish,9428,664,8764,0,9428
43,Skykomish,64,0,64,0,64
44,Snoqualmie,5867,372,5495,0,5867
45,Yarrow Point,78,3,75,0,78
46,Auburn PAA,6,0,6,0,6
48,Bellevue PAA,23,22,1,0,23
49,Black Diamond PAA,0,0,0,0,0
51,Issaquah PAA,6,0,6,0,6
52,Kent PAA,210,53,157,0,210
53,King UGA,556,39,517,0,556
57,Newcastle PAA,0,0,0,0,0
58,Pacific PAA,41,26,15,0,41
60,Redmond PAA,461,67,394,0,461
61,Sammamish PAA,65,1,64,0,65
64,King Rural,26301,7353,18948,0,26301
65,Bremerton,19340,794,18546,0,19340
401,NBK - Bremerton,15473,0,15473,7982,23455
67,Bremerton UGA,1401,313,1088,0,1401
68,Silverdale,13304,717,12587,0,13304
69,Bainbridge Island,9235,797,8438,0,9235
70,Kingston UGA,1077,72,1005,0,1077
71,Port Orchard,8615,486,8129,0,8615
72,Port Orchard UGA,2683,272,2411,0,2683
73,Poulsbo,7649,478,7171,0,7649
74,Poulsbo PUTA,78,3,75,0,78
75,Central Kitsap UGA,3985,168,3817,0,3985
76,Kitsap Rural,15752,3475,12277,29,15781
302,Kitsap Rural Ag & Resource,8,7,1,0,8
402,NBK - Bangor,3775,14,3761,3071,6846
77,Tacoma,121185,5063,116122,0,121185
78,Auburn,1244,144,1100,0,1244
79,Lakewood,29877,2035,27842,0,29877
80,Puyallup,30697,2428,28269,0,30697
81,University Place,7145,395,6750,0,7145
82,DuPont,5309,130,5179,0,5309
83,Fife,17599,1685,15914,0,17599
84,Fircrest,1568,96,1472,0,1568
85,"Mid-County, Parkland-Spanaway-Midland, South Hill",32478,4348,28130,0,32478
86,Sumner,18105,2964,15141,0,18105
87,Bonney Lake,6555,451,6104,0,6555
88,Buckley,2241,272,1969,0,2241
89,Carbonado,54,10,44,0,54
90,Eatonville,970,90,880,0,970
91,Edgewood,2243,840,1403,0,2243
92,Gig Harbor,12859,591,12268,0,12859
93,Milton,2205,386,1819,0,2205
94,Orting,1472,80,1392,0,1472
95,Pacific,2006,774,1232,0,2006
96,Roy,188,52,136,0,188
97,Ruston,531,56,475,0,531
98,South Prairie,80,25,55,0,80
99,Steilacoom,840,65,775,0,840
100,Wilkeson,85,6,79,0,85
107,Pierce UGA,12824,1711,11113,0,12824
403,JBLM - UGA,11706,71,11635,30459,42165
124,Pierce Rural,20812,5800,15012,0,20812
303,Pierce Rural Ag & Resource,1387,424,963,0,1387
405,JBLM - Rural,1977,9,1968,1394,3371
125,Everett,95190,3710,91480,0,95190
404,Naval Station Everett,1037,0,1037,2211,3248
126,Bothell,15309,505,14804,0,15309
127,Lynnwood,30122,1836,28286,0,30122
128,Arlington,12132,2028,10104,0,12132
129,Bothell MUGA,2794,402,2392,0,2794
130,Edmonds,15853,948,14905,0,15853
131,Edmonds MUGA,270,34,236,0,270
132,Everett MUGA,7028,934,6094,0,7028
133,Larch Way Overlap,2126,221,1905,0,2126
135,Lynnwood MUGA,5197,697,4500,0,5197
136,Marysville,17409,1868,15541,0,17409
138,Mill Creek,7504,677,6827,0,7504
139,Mill Creek MUGA,7403,1011,6392,0,7403
140,Mountlake Terrace,9508,811,8697,0,9508
141,Mukilteo,11820,1470,10350,0,11820
142,Mukilteo MUGA,4953,1244,3709,0,4953
143,Brier,585,79,506,0,585
144,Darrington,599,55,544,0,599
145,Gold Bar,273,29,244,0,273
146,Granite Falls,1134,64,1070,0,1134
147,Index,24,0,24,0,24
148,Lake Stevens,6985,1036,5949,0,6985
149,Monroe,11283,1111,10172,0,11283
150,Snohomish,6468,709,5759,0,6468
151,Stanwood,3641,113,3528,0,3641
152,Sultan,1044,74,970,0,1044
153,Woodway,84,12,72,0,84
155,Arlington UGA,13,8,5,0,13
156,Brier MUGA,174,31,143,0,174
157,Darrington UGA,0,0,0,0,0
158,Gold Bar UGA,20,13,7,0,20
159,Granite Falls UGA,0,0,0,0,0
161,Lake Stevens UGA,80,40,40,0,80
162,Lake Stickney Gap,1084,186,898,0,1084
163,Maltby UGA,5336,1760,3576,0,5336
164,Marysville UGA,676,0,676,0,676
166,Monroe UGA,172,36,136,0,172
167,Mountlake Terrace MUGA,0,0,0,0,0
168,Paine Field Area,6673,6,6667,0,6673
169,Silver Firs Gap,2381,207,2174,0,2381
170,Snohomish UGA,413,97,316,0,413
172,Stanwood UGA,192,0,192,0,192
174,Sultan UGA,0,0,0,0,0
175,Woodway MUGA,0,0,0,0,0
176,Snohomish Rural,15041,6183,8858,0,15041
210,Tulalip Tribe,8242,322,7920,0,8242
304,Snohomish Rural Ag & Resource,2767,1385,1382,0,2767
201,King no growth UGA Bear Creek UPD,1731,62,1669,0,1731
202,Carnation UGA,32,24,8,0,32
203,Covington PAA,141,0,141,0,141
204,Duvall UGA,10,0,10,0,10
205,Enumclaw UGA,130,91,39,0,130
206,King no growth UGA Milton PAA,65,35,30,0,65
207,North Bend UGA,144,50,94,0,144
208,Snoqualmie UGA,1143,51,1092,0,1143
209,King no growth UGA Tukwila PAA,0,0,0,0,0
301,King Rural Ag & Resource,2983,2059,924,0,2983
